,Агуулах,Барааны нэр,,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт
57,PN Gold's,ISO Whey 500g - Vanilla,,1,7,0,0,4,0,0,0,10,0,0,0,0,0
58,PN Gold's,ISO Whey 500гр,,27,24,5,0,92,0,0,0,120,28,0,1,0,0
59,PN Gold's,ISO Whey sample,,19,22,0,0,782,0,0,0,435,399,0,0,0,0
60,PN Gold's,ISO Whey sample - Bananas 25g,,0,49,0,0,100,0,0,0,150,0,0,0,0,0
61,PN Gold's,ISO Whey sample - Chocolate 25g,,85,46,0,0,145,0,0,0,250,0,0,0,0,0
62,PN Gold's,ISO Whey sample - Cookies 25g,,241,9,0,0,6,0,0,0,250,0,0,0,0,0
63,PN Gold's,ISO Whey sample - Hazelnut 25g,,49,51,0,0,45,0,0,0,150,0,0,0,0,0
64,PN Gold's,ISO Whey sample - Pineapple 25g,,0,50,0,0,50,0,0,0,100,0,0,0,0,0
65,PN Gold's,ISO Whey sample - Raspberry 25g,,138,91,0,0,9,0,0,0,350,0,0,0,0,0
66,PN Gold's,ISO Whey sample - Strawberry 25g,,139,0,0,0,154,0,0,0,200,0,0,0,0,0
67,PN Gold's,ISO Whey sample - Vanilla 25g,,0,12,0,0,157,0,0,0,200,0,0,0,0,0
68,PN Gold's,ISO Whey sample - White chocolate 25g,,0,50,0,0,43,0,0,0,100,0,0,0,0,0
69,PN Gold's,ISO Whey sample - coconut 25g,,0,51,0,0,47,0,0,0,100,0,0,0,0,0
70,PN Gold's,ISO Whey sample - tiramisu 25g,,171,0,0,0,50,0,0,0,200,0,0,0,0,0
71,PN Gold's,Ice cream 500g chocolate,,3,4,0,0,0,0,0,0,0,0,0,0,0,0
72,PN Gold's,Ice cream 500g strawberry,,4,2,0,0,1,0,0,0,0,0,0,0,0,0
73,PN Gold's,Ice cream powder 500гр,,0,0,0,0,6,0,0,0,0,6,0,0,0,0
74,PN Gold's,Jack's BCAA 300g,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,PN Gold's,Jack's WPC 1000g,,1,0,22,0,2,0,0,0,24,0,0,0,0,1
76,PN Gold's,Jack's amino 300g,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,PN Gold's,Jack's prework out shake,,0,0,0,0,30,0,0,0,0,0,0,0,0,40
78,PN Gold's,L-Carnitine 100.000,,0,8,1,0,63,0,0,0,71,1,0,1,0,0
79,PN Gold's,L-Carnitine 100.000 - Apple 500ml,,6,2,0,0,5,0,0,0,12,0,0,0,0,0
80,PN Gold's,L-Carnitine 100.000 - Cherry 500ml,,8,4,0,0,2,0,0,0,12,0,0,0,0,0
81,PN Gold's,L-Carnitine drink 500ml Apple peach,,60,0,0,0,0,0,0,0,60,0,0,0,0,0
82,PN Gold's,L-Carnitine drink 500ml- Strawberry kiwi,,72,0,0,0,0,0,0,0,72,0,0,0,0,0
83,PN Gold's,L-Carnitine powder 300g,,3,6,7,0,46,0,0,0,59,0,0,1,0,0
84,PN Gold's,L-Carnitine shot,,98,2,10,0,282,0,0,0,320,0,0,0,0,0
85,PN Gold's,L-Glutamine 240гр,,8,1,9,0,14,0,0,0,27,0,0,0,0,0
86,PN Gold's,Lipodex 120ш,,4,0,0,0,4,0,0,0,6,0,0,0,0,0
87,PN Gold's,MSM+ Vitamin C 150g,,0,3,16,0,14,0,0,0,24,0,0,0,0,0
88,PN Gold's,Magna shot 25ml,,85,1,0,0,111,0,0,0,180,0,0,0,0,0
89,PN Gold's,Mass gain 2000g,,0,0,0,0,7,0,2,0,0,0,0,0,0,10
