,,,,,,,,,,,,,,,,,,,,,,,,,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх
,Байршил,Барааны нэр,Эцсийн үлдэгдэл,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого нийт,Зарлага нийт,Үлдэгдэл,,,,Байршил, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
74,PN Store,Club mate 500мл,1,0,7280,0,301,0,0,0,6347,925,160,0,74,0,0,0,7581,7506,75,,,,,,,,,,,,,,,,,,
75,PN Store,Ундаа Amino 330ml Pink berry,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,,,,,,,,,,,,,,,,,,
76,PN Store,Ундаа Amino 330ml Watermelon,0,0,0,0,238,0,0,0,161,76,0,0,0,0,0,0,238,237,1,,,,,,,,,,,,,,,,,,
84,PN Store,EAA Zero 350g blue grape,-1,8,150,0,7,0,0,0,67,45,15,0,35,0,0,0,157,162,3,,,,,,,,,,,,,,,,,,
85,PN Store,Hyper Mass - Caramel cappuchino 1kg,2,52,30,0,3,0,0,0,56,10,10,0,4,0,0,0,33,80,5,,,,,,,,,,,,,,,,,,
86,PN Store,Club mate 330мл,0,153,1728,0,20,0,0,0,1674,196,0,0,12,0,0,0,1748,1882,19,,,,,,,,,,,,,,,,,,
87,PN Store,Zinc 60ш,-1,140,5,0,36,0,0,0,88,43,14,0,27,0,0,0,41,172,9,,,,,,,,,,,,,,,,,,
97,PN Store,Protein cream 400g Caramel,0,0,216,0,13,0,0,0,79,87,16,0,40,0,0,0,229,222,7,,,,,,,,,,,,,,,,,,
99,PN Store,Energy gel 60g Orange,-3,21,96,0,42,0,0,0,89,4,48,0,0,0,0,0,138,141,18,,,,,,,,,,,,,,,,,,
100,PN Store,L-Glutamine 240гр,0,8,162,0,4,1,0,0,33,76,16,0,50,0,0,0,167,175,0,,,,,,,,,,,,,,,,,,
101,PN Store,Nitrox - Blue grape 680g,-9,26,95,0,5,0,0,0,77,25,17,0,20,0,0,0,100,139,-13,,,,,,,,,,,,,,,,,,
111,PN Store,Hyper Mass - Chocolate 1kg,-1,0,135,0,3,0,0,0,56,35,6,0,33,0,0,0,138,130,8,,,,,,,,,,,,,,,,,,
117,PN Store,Power Creatine 300гр,6,0,302,0,3,1,0,36,79,29,19,0,202,0,0,0,342,329,13,,,,,,,,,,,,,,,,,,
124,PN Store,Crush Bar - Toffee coconut 64g,-4,0,900,0,24,0,0,0,710,145,72,0,10,0,0,0,924,937,-13,,,,,,,,,,,,,,,,,,
125,PN Store,Protein cream 400g Chocolate hazelnut,-1,0,216,0,17,0,0,0,103,79,9,0,41,0,0,0,233,232,1,,,,,,,,,,,,,,,,,,
126,PN Store,Peanut butter 400g smooth Biotech,-2,0,30,0,1,0,0,0,1,28,0,0,2,0,0,0,31,31,0,,,,,,,,,,,,,,,,,,
144,PN Store,Power Whey - Chocolate 2250g,0,0,246,0,1,1,0,10,172,11,15,0,81,0,0,0,258,279,-21,,,,,,,,,,,,,,,,,,
145,PN Store,Peanut butter 400g crunchy Biotech,0,0,210,0,2,0,0,0,56,65,15,0,68,0,0,0,212,204,8,,,,,,,,,,,,,,,,,,
228,PN Store,Zero bar Chocolate 50g,0,0,1240,0,47,0,0,0,1243,184,60,0,36,0,0,0,1287,1523,-236,,,,,,,,,,,,,,,,,,
229,PN Store,Crush Bar - Cookiescream 64g,0,0,936,0,36,0,0,0,673,141,108,0,12,0,0,0,972,934,38,,,,,,,,,,,,,,,,,,
230,PN Store,Zero bar Hazelnut 50g,0,0,1420,0,93,0,0,0,940,188,80,0,39,0,0,0,1513,1247,266,,,,,,,,,,,,,,,,,,
231,PN Store,Crush Bar - Chocolate 64g,0,0,900,0,32,0,0,0,695,111,109,0,9,0,0,0,932,924,8,,,,,,,,,,,,,,,,,,
232,PN Store,ISO Whey 500g - Chocolate,0,0,147,0,0,0,0,0,78,56,0,0,12,0,0,0,147,146,1,,,,,,,,,,,,,,,,,,
233,PN Store,ISO Whey 500g - Pineapple mango,0,0,80,0,1,0,0,0,63,19,0,0,0,0,0,0,81,82,-1,,,,,,,,,,,,,,,,,,
234,PN Store,Protein bar 15*55g Caramel peanuts,0,0,1394,0,108,0,0,0,1007,196,106,0,137,0,0,0,1502,1446,56,,,,,,,,,,,,,,,,,,
235,PN Store,Protein bar 15*55g Cookies cream,0,0,1789,0,80,0,0,0,929,605,138,0,163,0,0,0,1869,1835,34,,,,,,,,,,,,,,,,,,
236,PN Store,Protein bar 15*55g Choco caramel,0,0,2370,0,63,0,0,0,1280,323,200,0,283,0,0,0,2433,2086,347,,,,,,,,,,,,,,,,,,
237,PN Store,ISO Whey 500g - Banana,0,0,232,0,0,0,0,0,143,43,11,0,33,0,0,0,232,230,2,,,,,,,,,,,,,,,,,,
262,PN Store,ISO Whey 500g - White chocolate,0,0,232,0,0,0,0,0,92,74,16,0,41,0,0,0,232,223,9,,,,,,,,,,,,,,,,,,
263,PN Store,Snack 12*45g Vanilla,0,0,84,0,23,0,0,0,73,30,0,0,0,0,0,0,107,103,4,,,,,,,,,,,,,,,,,,
